area_sqm,building_year,num_rooms,has_elevator,has_parking,has_storage,price(in_toman),floor_number,district
100,1399,2,Yes,Yes,Yes,155000000,,جنت‌آباد مرکزی
74,1395,2,Yes,No,No,3850000000,15.0,دولت‌آباد
69,1403,1,Yes,Yes,No,3700000000,5.0,دولت‌آباد
73,1385,2,Yes,Yes,Yes,8600000000,1.0,سازمان برنامه
40,1381,1,No,No,Yes,55000000,,جیحون
61,1386,2,No,No,Yes,2150000000,4.0,ظهیرآباد
38,1379,1,No,No,Yes,2100000000,2.0,جی
59,1387,1,Yes,No,No,3240000000,44.0,تولید دارو
47,1398,1,Yes,Yes,Yes,1860000000,6.0,شهر زیبا
75,1400,2,Yes,Yes,Yes,12200000000,10.0,هروی
124,1403,3,Yes,Yes,Yes,6125000000,26.0,دریاچه شهدای خلیج فارس
66,1401,1,Yes,Yes,Yes,3100000000,13.0,شهر زیبا
118,1389,2,Yes,Yes,Yes,11650000000,35.0,سازمان آب
56,1387,1,No,Yes,Yes,3800000000,3.0,صاحب الزمان
100,1396,2,Yes,Yes,Yes,18400000000,4.0,حکمت
78,1388,2,Yes,Yes,Yes,8250000000,3.0,پونک
75,1403,2,Yes,Yes,Yes,2900000000,12.0,چیتگر
115,1403,2,Yes,Yes,Yes,23500000000,56.0,قیطریه
90,1403,2,Yes,Yes,Yes,4980000000,1111.0,شهرک فردوس
82,1397,2,Yes,Yes,Yes,6700000000,25.0,دکتر هوشیار
58,1380,1,Yes,Yes,Yes,5800000000,3.0,اباذر
87,1383,2,No,Yes,Yes,89885000,,کوی فردوس
185,1403,3,Yes,Yes,Yes,44000000000,36.0,ولنجک
80,1395,2,Yes,Yes,Yes,8200000000,35.0,خاقانی
94,1397,2,Yes,Yes,Yes,10200000000,55.0,تهرانپارس غربی
122,1387,2,Yes,Yes,Yes,134426000,,یوسف‌آباد
260,1403,3,Yes,Yes,Yes,269230000,,هفت چنار
240,1393,3,Yes,Yes,Yes,57600000000,4.0,زعفرانیه
58,1390,2,No,No,No,2350000000,4.0,فلاح
125,1387,3,Yes,Yes,Yes,136000000,,سعادت‌آباد
148,1390,3,Yes,Yes,Yes,15300000000,25.0,کوی فردوس
95,1403,2,Yes,Yes,Yes,22000000000,4.0,میرداماد
57,1383,1,Yes,Yes,Yes,6600000000,5.0,اباذر
158,1402,3,Yes,Yes,Yes,23800000000,13.0,شهرک راه‌آهن
370,1403,4,Yes,Yes,Yes,140600000000,38.0,دروس
260,1398,4,Yes,Yes,Yes,40500000000,1012.0,سعادت‌آباد
82,1403,2,Yes,Yes,Yes,5500000000,25.0,شهید دستغیب
180,1399,3,Yes,Yes,Yes,46000000000,45.0,دروس
127,1385,3,No,Yes,Yes,9500000000,34.0,شهران شمالی
130,1401,3,Yes,Yes,Yes,30000000000,25.0,پاسداران
56,1399,1,Yes,No,Yes,1792000000,2.0,مبارک‌آباد بهشتی
125,1403,2,Yes,Yes,No,6500000000,26.0,کاروان
50,1396,1,Yes,No,Yes,3500000000000,6.0,زنجان
82,1387,2,Yes,Yes,Yes,8000000000,55.0,شهرک پرواز
208,1397,3,Yes,Yes,Yes,38000000000,27.0,سعادت‌آباد
1000,1390,3,Yes,Yes,Yes,219000000,,دروس
74,1384,2,Yes,Yes,Yes,11970000000,510.0,ونک
89,1398,1,Yes,Yes,No,44943000,,هاشم‌آباد
41,1381,1,No,No,Yes,2250000000,33.0,سلیمانی
86,1393,2,Yes,Yes,Yes,3700000000,35.0,شوش
105,1396,2,Yes,Yes,Yes,15350000000,55.0,شهرآرا
95,1403,2,Yes,Yes,Yes,12000000000,35.0,جنت‌آباد جنوبی
150,1403,3,Yes,Yes,Yes,10700000000,211.0,دریاچه شهدای خلیج فارس
165,1402,3,Yes,Yes,Yes,30500000000,2.0,قیطریه
110,1402,3,Yes,Yes,Yes,6600000000,25.0,هفت چنار
81,1403,2,Yes,Yes,Yes,4990000000,35.0,وردآورد
120,1396,2,Yes,Yes,Yes,7700000000,14.0,جیحون
80,1398,2,Yes,No,Yes,4500000000,15.0,جی
52,1383,1,No,No,Yes,3100000000,44.0,شاهد
58,1402,1,Yes,Yes,Yes,2500000000,34.0,جیحون
68,1388,2,No,No,Yes,2400000000,3.0,شهرک کیانشهر
150,1401,3,Yes,Yes,Yes,25000000000,5.0,مرزداران
100,1386,2,Yes,Yes,Yes,168000000,,سعادت‌آباد
99,1388,2,Yes,Yes,Yes,9100000000,25.0,جنت‌آباد مرکزی
65,1390,1,No,No,Yes,2450000000,3.0,باغ فیض
135,1402,3,Yes,Yes,Yes,13500000000,55.0,تهران‌سر
100,1393,2,Yes,Yes,Yes,11111111,35.0,میدان حر
43,1394,1,Yes,Yes,Yes,3490000000,44.0,جیحون
30,1403,1,Yes,Yes,Yes,690000000,1817.0,دریاچه شهدای خلیج فارس
53,1395,1,No,Yes,Yes,3160000000,1.0,تهران‌سر
97,1395,2,Yes,Yes,Yes,9850000000,35.0,ارم
70,1397,2,Yes,Yes,Yes,61428000,,بریانک
98,1395,2,No,No,Yes,11500000000,2.0,شهرک کوهسار
96,1370,2,Yes,Yes,No,8700000000,77.0,میدان ولیعصر
137,1395,3,Yes,Yes,Yes,115000000,,نصرت
60,1398,1,Yes,Yes,Yes,1400000000,2.0,شهر زیبا
61,1398,1,Yes,Yes,Yes,4300000000,34.0,دکتر هوشیار
150,1401,3,Yes,Yes,Yes,24000000000,35.0,هفت حوض
72,1403,2,Yes,Yes,Yes,72000000,,بلورسازی
130,1392,3,Yes,Yes,Yes,80769000,,سرو آزاد
80,1398,2,Yes,Yes,No,1230000000,46.0,پونک
275,1391,3,Yes,Yes,Yes,230909000,,زعفرانیه
41,1382,1,No,No,Yes,2370000000,34.0,جیحون
73,1393,1,Yes,No,Yes,5800000000,4.0,ستارخان
118,1393,2,Yes,Yes,Yes,11000000000,45.0,شهران شمالی
49,1396,1,Yes,No,No,3020000000,55.0,جی
99,1393,2,Yes,Yes,Yes,9400000000,15.0,حافظیه
200,1401,3,Yes,Yes,Yes,250000000,,زعفرانیه
95,1394,2,Yes,Yes,Yes,92631000,,بهاران
60,1398,2,No,No,No,2600000000,25.0,شمیران‌نو
52,1384,1,No,No,Yes,49038000,,شبیری
88,1385,2,Yes,Yes,Yes,14050000000,511.0,اختیاریه
85,1403,2,Yes,Yes,Yes,5200000000,5.0,بیسیم
76,1387,2,No,Yes,Yes,6170000000,34.0,جنت‌آباد جنوبی
105,1403,2,Yes,No,Yes,3465000000,1.0,نعمت‌آباد
100,1399,2,Yes,Yes,Yes,16800000000,1.0,پونک
63,1390,2,No,No,No,40000000,,جلیلی
65,1403,1,Yes,Yes,Yes,2015000000,919.0,طرشت
106,1387,2,No,Yes,Yes,7700000000,44.0,شادمهر
63,1396,1,Yes,Yes,Yes,5050000000,43.0,تهرانپارس شرقی
144,1400,2,Yes,Yes,Yes,13200000000,2020.0,دریاچه شهدای خلیج فارس
140,1403,3,Yes,Yes,Yes,6340000000,1114.0,شهرک راه‌آهن
220,1383,3,Yes,Yes,Yes,46000000000,35.0,الهیه
38,1380,1,No,No,Yes,2600000000,33.0,پلیس
57,1385,2,No,No,Yes,4500000000,14.0,تهرانپارس شرقی
153,1396,3,Yes,Yes,Yes,15550000000,4.0,جنت‌آباد شمالی
116,1396,2,Yes,Yes,Yes,10900000000,1919.0,دریاچه شهدای خلیج فارس
200,1387,3,Yes,Yes,Yes,39000000000,35.0,الهیه
54,1397,2,Yes,Yes,Yes,4400000000,24.0,زنجان
300,1403,3,Yes,Yes,Yes,600000000,,سعادت‌آباد
87,1403,2,Yes,Yes,No,6650000000,66.0,خانی‌آباد نو
84,1396,2,Yes,Yes,Yes,4650000000,2.0,خلیج فارس
44,1380,1,No,No,Yes,2320000000,1.0,جوادیه
50,1403,2,Yes,Yes,Yes,7000000,,چیتگر
80,1385,2,No,Yes,Yes,4200000000,44.0,منیریه
105,1390,2,Yes,Yes,Yes,113142000,,صادقیه
107,1403,2,Yes,Yes,Yes,8200000000,12.0,چیتگر
180,1394,3,Yes,Yes,Yes,135000000,,شهرک پرواز
75,1392,2,Yes,No,Yes,0,,امیریه
65,1394,2,Yes,No,No,2850000000,25.0,فلاح
66,1402,2,Yes,No,No,49242000,,مسعودیه
100,1403,2,Yes,Yes,Yes,19000000,,دریاچه شهدای خلیج فارس
49,1401,1,Yes,Yes,Yes,1360000000,14.0,اندیشه (شهر زیبا)
92,1402,2,Yes,Yes,Yes,2622000000,311.0,چیتگر
110,1370,4,No,No,Yes,50000000,,سبلان
98,1392,2,Yes,Yes,Yes,11800000000,2.0,هروی
88,1393,2,Yes,Yes,Yes,11770000000,3.0,جنت‌آباد مرکزی
60,1394,1,Yes,Yes,Yes,6450000000,45.0,تهرانپارس غربی
110,1403,2,Yes,Yes,Yes,500000000,3.0,دروازه شمیران
62,1392,1,No,No,No,2350000000,2.0,دولتخواه
98,1399,2,Yes,Yes,Yes,11000000000,3.0,جنت‌آباد مرکزی
108,1397,2,Yes,Yes,Yes,127777000,,سپهر
107,1403,2,Yes,Yes,Yes,6955000000,5.0,بریانک
90,1403,2,Yes,No,No,3240000000,16.0,یافت‌آباد
105,1402,2,Yes,Yes,No,510000000,2.0,فاطمی
59,1398,1,Yes,No,Yes,1799000000,1.0,مبارک‌آباد بهشتی
130,1396,3,Yes,Yes,Yes,6800000000,420.0,وردآورد
100,1403,2,Yes,Yes,Yes,3300000000,5.0,چیتگر
