area_sqm,building_year,num_rooms,has_elevator,has_parking,has_storage,price(in_toman),floor_number,district,district_encoded,price_standardized,building_age
74,1398,2,1,1,1,2294000000,3,مبارک‌آباد بهشتی,208,-0.7278883332697073,5
75,1385,2,0,1,1,7650000000,25,مدائن,213,-0.3581087179408463,18
73,1397,2,0,1,1,2200000000,23,اندیشه (شهر زیبا),33,-0.7343781174072936,6
80,1395,2,0,1,1,2900000000,23,شهر زیبا,148,-0.6860499376593095,8
162,1386,3,1,1,1,18500000000,68,حسین‌آباد,79,0.3909780681529067,17
74,1395,2,1,0,0,3850000000,15,دولت‌آباد,111,-0.620461693715617,8
69,1403,1,1,1,0,3700000000,5,دولت‌آباد,111,-0.630817732233042,0
73,1385,2,1,1,1,8600000000,1,سازمان برنامه,121,-0.29252047399715364,18
61,1386,2,0,0,1,2150000000,4,ظهیرآباد,190,-0.7378301302464354,17
38,1379,1,0,0,1,2100000000,2,جی,75,-0.741282143085577,24
59,1387,1,1,0,0,3240000000,44,تولید دارو,60,-0.6625762503531459,16
47,1398,1,1,1,1,1860000000,6,شهر زیبا,148,-0.7578518047134574,5
75,1400,2,1,1,1,12200000000,10,هروی,240,-0.04397554957894987,3
124,1403,3,1,1,1,6125000000,26,دریاچه شهدای خلیج فارس,105,-0.4633951095346687,0
66,1401,1,1,1,1,3100000000,13,شهر زیبا,148,-0.6722418863027427,2
118,1389,2,1,1,1,11650000000,35,سازمان آب,120,-0.08194769080950878,14
56,1387,1,0,1,1,3800000000,3,صاحب الزمان,182,-0.6239137065547586,16
100,1396,2,1,1,1,18400000000,4,حکمت,84,0.3840740424746233,7
78,1388,2,1,1,1,8250000000,3,پونک,254,-0.3166845638711457,15
75,1403,2,1,1,1,2900000000,12,چیتگر,257,-0.6860499376593095,0
115,1403,2,1,1,1,23500000000,56,قیطریه,205,0.7361793520670786,0
90,1403,2,1,1,1,4980000000,1111,شهرک فردوس,164,-0.5424462035510141,0
82,1397,2,1,1,1,6700000000,25,دکتر هوشیار,112,-0.423696961884539,6
58,1380,1,1,1,1,5800000000,3,اباذر,9,-0.4858331929890899,23
185,1403,3,1,1,1,44000000000,36,ولنجک,247,2.1515046161151834,0
80,1395,2,1,1,1,8200000000,35,خاقانی,86,-0.3201365767102874,8
94,1397,2,1,1,1,10200000000,55,تهرانپارس غربی,55,-0.18205606314461864,6
240,1393,3,1,1,1,57600000000,4,زعفرانیه,115,3.090452108361731,10
58,1390,2,0,0,0,2350000000,4,فلاح,197,-0.7240220788898685,13
148,1390,3,1,1,1,15300000000,25,کوی فردوس,265,0.1700492464478367,13
95,1403,2,1,1,1,22000000000,4,میرداماد,224,0.632618966892827,0
57,1383,1,1,1,1,6600000000,5,اباذر,9,-0.4306009875628224,20
158,1402,3,1,1,1,23800000000,13,شهرک راه‌آهن,157,0.756891429101929,1
260,1398,4,1,1,1,40500000000,1012,سعادت‌آباد,127,1.9098637173752633,5
82,1403,2,1,1,1,5500000000,25,شهید دستغیب,175,-0.5065452700239402,0
180,1399,3,1,1,1,46000000000,45,دروس,102,2.2895851296808525,4
127,1385,3,0,1,1,9500000000,34,شهران شمالی,151,-0.2303842428926027,18
130,1401,3,1,1,1,30000000000,25,پاسداران,250,1.184941021155502,2
56,1399,1,1,0,1,1792000000,2,مبارک‌آباد بهشتی,208,-0.7625465421746901,4
125,1403,2,1,1,0,6500000000,26,کاروان,258,-0.43750501324110586,0
82,1387,2,1,1,1,8000000000,55,شهرک پرواز,169,-0.33394462806685427,16
208,1397,3,1,1,1,38000000000,27,سعادت‌آباد,127,1.7372630754181773,6
74,1384,2,1,1,1,11970000000,510,ونک,248,-0.05985480863900178,19
41,1381,1,0,0,1,2250000000,33,سلیمانی,130,-0.730926104568152,22
86,1393,2,1,1,1,3700000000,35,شوش,177,-0.630817732233042,10
105,1396,2,1,1,1,15350000000,55,شهرآرا,149,0.17350125928697843,7
95,1403,2,1,1,1,12000000000,35,جنت‌آباد جنوبی,68,-0.057783600935516745,0
150,1403,3,1,1,1,10700000000,211,دریاچه شهدای خلیج فارس,105,-0.14753593475320143,0
165,1402,3,1,1,1,30500000000,2,قیطریه,205,1.2194611495469194,1
110,1402,3,1,1,1,6600000000,25,هفت چنار,242,-0.4306009875628224,1
